country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp
KWT,2013,,49651.0439275077,2.48789287,78.7418048780488,0.30153
KWT,2014,,44368.7813457751,2.9159987,79.0803414634146,0.42705
KWT,2015,,29882.2126495698,4.21497965,79.3765609756098,0.0966
KWT,2016,5.95593958839578,27323.6890735517,4.73096323,79.6775853658537,0.07985
KWT,2017,6.35444222156987,29047.6536135703,4.65326786,79.9160731707317,0.0804
KWT,2018,6.39165256830382,32067.9623756889,5.17201853,80.1063658536585,0.06329
KWT,2019,6.72789551402991,31707.8737443551,5.18200397,81.969756097561,0.18512
KWT,2020,6.24513034913966,25236.0755848941,6.11295223,78.7609756097561,0.17805
KWT,2021,7.76246706467929,34018.6342592913,5.37273169,78.7365853658537,
KWT,2022,6.58236499988891,39981.7691035833,4.20024538,80.5878048780488,0.0801
KWT,2023,5.0262608311279,34075.849012909,4.96311998,83.1878048780488,0.09547
KWT,2024,6.43592667889685,32717.7186631255,,84.580487804878,0.08954
MAR,1995,4.73479986190796,1466.78820800781,,64.725,
MAR,1996,,1596.83239746094,,65.226,
MAR,1997,,1426.30114746094,,65.616,
MAR,1998,4.59940004348755,1668.49755859375,,66.008,0.24582
MAR,1999,4.62527990341187,1635.65673828125,,66.404,
MAR,2000,,1499.107421875,3.69304585,66.794,
MAR,2001,,1506.24523925781,3.81601191,67.2,0.5463
MAR,2002,,1596.02062988281,4.06117535,67.582,0.47179
MAR,2003,,1941.87255859375,4.08037519,67.958,0.56588
MAR,2004,,2183.55541992188,4.23211098,68.272,
MAR,2005,,2242.98828125,4.37350655,68.748,
MAR,2006,,2438.12646484375,4.56586647,69.157,0.54987
MAR,2007,,2755.5859375,4.80759001,69.62,
MAR,2008,4.85339021682739,3183.20043945313,4.83789158,70.051,
MAR,2009,4.83119010925293,3119.58862304688,5.27312183,70.454,
MAR,2010,,3067.9853515625,5.41861057,70.821,0.66036
MAR,2011,,3301.98876953125,5.37019396,71.263,
MAR,2012,5.55294838577208,3164.17724609375,5.39619017,71.674,
MAR,2013,,3379.7431640625,5.25540543,72.117,
MAR,2014,5.48276036642721,3435.40698242188,5.41626596,72.522,
MAR,2015,5.133369043677,3146.24780273438,5.10435581,72.894,
MAR,2016,5.08530197423073,3140.85546875,5.09203386,73.228,
MAR,2017,4.73564982004448,3296.52661132813,4.98920393,73.608,
MAR,2018,4.96022713486949,3501.69799804688,4.94516659,73.946,
MAR,2019,5.0032567210502,3508.09765625,5.020401,74.245,
MAR,2020,6.28428263644307,3268.0302734375,5.78939486,73.133,
MAR,2021,5.64273401285138,3785.93627929688,5.45314503,73.385,
MAR,2022,5.91224674061277,3463.1376953125,5.75281,75.161,
MAR,2023,6.02096928801329,3813.72607421875,6.06396198,75.313,
MAR,2024,,4153.1943359375,,75.493,
MEX,1995,3.49746990203857,4183.87847727479,,70.703,
MEX,1996,,4674.36792733681,,71.088,0.23838
MEX,1997,,5567.35599516667,,71.472,0.26404
MEX,1998,3.17838001251221,5832.69342004468,,71.792,0.28519
MEX,1999,3.36164999008179,6499.97182950425,,72.203,0.32719
MEX,2000,3.80870008468628,7524.0271380091,4.24436522,72.562,0.29205
MEX,2001,4.0313401222229,7952.76479510706,4.58201361,72.912,0.30815
MEX,2002,4.24307012557983,7983.03398381759,4.83042812,73.106,0.33745
MEX,2003,4.83262014389038,7434.0746485155,5.53978777,73.308,0.37454
MEX,2004,4.51204013824463,7849.66759649565,5.6835022,73.432,0.37053
MEX,2005,4.63395023345947,8671.75891885163,5.58110142,73.627,0.38103
MEX,2006,4.49317979812622,9512.63575346699,5.40647888,73.746,0.35298
MEX,2007,4.47919988632202,10134.3327138119,5.50668049,73.796,0.38039
MEX,2008,4.60607004165649,10523.7685403244,5.44587374,73.695,0.42416
MEX,2009,4.94934988021851,8423.56933214711,5.84786463,73.628,0.45748
MEX,2010,4.93697023391724,9728.80078377082,5.4897337,73.718,0.47353
MEX,2011,4.9040699005127,10664.4944032313,5.30093002,73.921,0.45268
MEX,2012,4.88349008560181,10744.1335242686,5.42140484,74.128,0.40284
MEX,2013,4.50858020782471,11216.8008505428,5.5773263,74.289,0.40806
MEX,2014,5.06807994842529,11391.3773497683,5.35336781,74.404,0.41962
MEX,2015,5.05087995529175,10021.2386118827,5.52738619,74.431,0.41477
MEX,2016,4.75795984268188,9097.92397674769,5.38499022,74.376,0.37601
MEX,2017,4.39752006530762,9649.27816772402,5.3117938,74.261,0.31955
MEX,2018,4.13944005966187,10084.7937562021,5.23821402,74.301,0.29816
MEX,2019,,10369.5553585271,5.3013463,74.53,0.27629
MEX,2020,4.4996600151062,8841.27075039868,6.05248594,70.449,0.29185
MEX,2021,4.23823976516724,10314.0506722115,5.87678003,69.75,0.27305
MEX,2022,4.05987977981567,11405.7940473759,5.70919704,73.973,0.25727
MEX,2023,,13860.9597809326,5.50398684,75.069,0.26746
MEX,2024,,14185.7812248529,,75.264,0.25372
MYS,1995,4.3425498008728,4363.14458333034,,71.979,
MYS,1996,4.91384983062744,4837.16897250768,,72.119,0.21645
MYS,1997,4.62037992477417,4678.56390058182,,72.296,
MYS,1998,,3294.30978444095,,72.385,0.39789
MYS,1999,5.68678998947144,3527.81581379249,,72.428,
MYS,2000,5.9716100692749,4083.52874483605,2.51463366,72.732,0.46899
MYS,2001,7.48446989059448,3943.79943910239,2.6753974,73.08,
MYS,2002,7.65792989730835,4184.03163773539,2.66876554,73.469,0.65254
MYS,2003,7.50288009643555,4465.32194567208,2.92417073,73.727,
MYS,2004,5.92389011383057,4939.24851854427,2.86016941,74.027,0.5999
MYS,2005,,5555.58179951206,2.78692698,74.37,
MYS,2006,4.48576021194458,6158.40785533236,3.10897732,74.697,0.61106
MYS,2007,4.37253999710083,7168.93031942508,3.07041144,74.961,
MYS,2008,3.95851993560791,8371.82156086005,3.00692558,75.151,0.78847
MYS,2009,5.97418022155762,7191.43287234626,3.2610569,75.269,1.01001
MYS,2010,4.96645021438599,8899.34505544675,3.16474271,75.376,1.03608
MYS,2011,5.76293992996216,10217.1068585031,3.31451917,75.488,1.03342
MYS,2012,5.73902988433838,10600.5744240026,3.45786357,75.552,1.09269
MYS,2013,5.48122978210449,10713.6407638899,3.51276922,75.464,
MYS,2014,5.21264982223511,11013.3107334403,3.71036959,75.345,1.26275
MYS,2015,4.89487981796265,9648.6797937523,3.82201481,75.288,1.27945
MYS,2016,4.75191020965576,9476.53409809923,3.70085335,75.371,1.41517
MYS,2017,4.6753101348877,9862.54806612235,3.71472311,75.542,
MYS,2018,4.47865009307861,10901.8019954421,3.75944281,75.734,1.04026
MYS,2019,4.15775012969971,10920.191763972,3.83991051,75.9,
MYS,2020,3.91176009178162,9957.52626697613,4.08254337,76.057,0.95055
MYS,2021,4.26109393398867,10903.1037480772,4.37438345,73.917,
MYS,2022,3.49933781956284,11754.5678336248,3.90037823,75.444,1.0121
MYS,2023,3.51481008529663,11386.0395636528,3.95760036,76.657,
MYS,2024,,11874.4273684245,,76.821,
NGA,1995,,1271.61617353199,,45.87,
NGA,1996,,1632.72469370276,,45.833,
NGA,1997,,1720.27540949396,,45.96,
NGA,1998,,1822.46998452473,,46.148,
NGA,1999,,480.669363941805,,46.609,
NGA,2000,,547.318298903379,3.1973834,47.143,
NGA,2001,,566.428231812933,3.18946862,47.549,
NGA,2002,,712.164852077686,2.49063969,48.02,
NGA,2003,,763.388745367223,5.05360985,48.618,
NGA,2004,,962.48104194733,4.63368416,49.148,
NGA,2005,,1211.37703504386,4.46591949,49.538,
NGA,2006,,1599.53891556365,4.25775146,49.876,
