country_iso3,year,region,income_group,gdp_per_capita_usd,life_expectancy,health_spend_pct_gdp,education_spend_pct_gdp,rd_spend_pct_gdp,wui,wui_volatility
KOR,2022,Asia-Pacific,High,34822.4048404971,82.6804878048781,8.8595314,5.40910005569458,4.84753,0.17914380000000002,0.0703747103447917
KOR,2023,Asia-Pacific,High,35674.095995632,83.4292682926829,8.5650692,5.40910005569458,4.94352,0.11853485,0.1049012220333173
KOR,2024,Asia-Pacific,High,36238.639908315,83.6292682926829,8.67656994,5.40910005569458,4.94352,0.06423915,0.07418734089679092
KWT,1995,Middle East,High,16168.165602374,75.979756097561,2.20362997,5.85961008071899,0.20538,0.080472725,0.11732565728465293
KWT,1996,Middle East,High,18201.0958607918,75.9250487804878,2.20362997,5.85961008071899,0.20538,0.0480021,0.05542956800667553
KWT,1997,Middle East,High,16977.3895620399,75.9071463414634,2.20362997,5.5826301574707,0.20538,0.03155575,0.036454745611282674
KWT,1998,Middle East,High,14066.9509572183,75.9642926829269,2.20362997,5.833430171012875,0.25796,0.0,0.0
KWT,1999,Middle East,High,15853.6264423466,76.0779512195122,2.20362997,6.08423018455505,0.19763,0.01874345,0.0374869
KWT,2000,Middle East,High,19296.3471698729,76.2258780487805,2.20362997,6.335030198097225,0.12542,0.1004674,0.07251871581198883
KWT,2001,Middle East,High,17374.2318664227,76.3843414634146,3.18719625,6.5858302116394,0.17884,0.11386325,0.04384319829160126
KWT,2002,Middle East,High,18512.7523035862,76.5316341463415,3.12441754,6.551109790802,0.18001,0.0713216,0.1426432
KWT,2003,Middle East,High,22690.655175144,76.6445609756098,2.76042604,6.043089866638185,0.14347,0.077973425,0.05992400315145704
KWT,2004,Middle East,High,27552.2827399787,76.7276829268293,2.35702467,5.53506994247437,0.1301,0.04814445,0.032270698627031094
KWT,2005,Middle East,High,36122.6142741227,76.8007804878049,2.013309,4.73833990097046,0.10083,0.101079375,0.06770488196830786
