country_iso3,year,wui,wui_volatility
IND,2005,0.0860538,0.09944633916885359
IND,2006,0.0511348,0.07191026143798951
IND,2007,0.043145625,0.05506916530354502
IND,2008,0.0,0.0
IND,2009,0.020330175,0.04066035
IND,2010,0.067840575,0.08601079384094282
IND,2011,0.064421925,0.12884385
IND,2012,0.109609975,0.10974023619804407
IND,2013,0.1232374,0.06235733600841737
IND,2014,0.17700512499999999,0.09342576357070444
IND,2015,0.211966625,0.16087826066850205
IND,2016,0.22941240000000002,0.14041425218056272
IND,2017,0.11002905,0.04325661944045867
IND,2018,0.0749889,0.031225343132889136
IND,2019,0.19371444999999998,0.08684383904789485
IND,2020,0.1652159,0.15797183772124276
IND,2021,0.061152200000000004,0.00761523048939864
IND,2022,0.190869225,0.08504866272734198
IND,2023,0.156311775,0.11276959666039939
IND,2024,0.06612190000000001,0.05301563565697702
IRL,1995,0.0476923,0.03188207181923199
IRL,1996,0.01818975,0.0363795
IRL,1997,0.032899075,0.06579815
IRL,1998,0.1910385,0.2393117191370006
IRL,1999,0.030115525000000004,0.034896847792255305
IRL,2000,0.0412371,0.08247419999999998
IRL,2001,0.3740644,0.23587292239822696
IRL,2002,0.5529563,0.5334543266132162
IRL,2003,0.0897434,0.04034336398963279
IRL,2004,0.055379125,0.07247409266118825
IRL,2005,0.061399,0.08694841129623933
IRL,2006,0.049060450000000005,0.059735575930456496
IRL,2007,0.0734889,0.06292805947037194
IRL,2008,0.0908363,0.11555160804287118
IRL,2009,0.25359787500000003,0.1159398723764284
IRL,2010,0.07121920000000001,0.08827954049483945
IRL,2011,0.097087375,0.19417475
IRL,2012,0.5028134,0.10075655235556642
IRL,2013,0.30358395,0.1098344698619245
IRL,2014,0.1444157,0.08686405258348627
IRL,2015,0.250232225,0.05350297384279215
IRL,2016,0.33751430000000004,0.14153191712286436
IRL,2017,0.507382525,0.24483006780057842
IRL,2018,0.24738597499999998,0.02860167418554084
IRL,2019,1.0944172,0.29101974485779025
IRL,2020,0.5170226,0.3735403083012417
IRL,2021,0.40240855,0.18105433231636117
IRL,2022,0.5247115,0.05824271888313595
IRL,2023,0.32619765,0.12744693450950478
IRL,2024,0.375445025,0.05739368388167089
IRN,1995,0.01390435,0.027808699999999995
IRN,1996,0.0694622,0.05741444236386288
IRN,1997,0.020086775,0.04017355
IRN,1998,0.0396983,0.0793966
IRN,1999,0.020409825,0.04081965
IRN,2000,0.09778875,0.07867012956459396
IRN,2001,0.35397049999999997,0.15245178860560038
IRN,2002,0.074855925,0.09049346415122568
IRN,2003,0.061386949999999996,0.08745286935721434
IRN,2004,0.057120149999999995,0.06595683665011536
IRN,2005,0.1371069,0.09000594589073917
IRN,2006,0.0,0.0
IRN,2007,0.0,0.0
IRN,2008,0.053185825,0.10637165
IRN,2009,0.07447865000000001,0.09508405426949007
IRN,2010,0.0237914,0.0475828
IRN,2011,0.0,0.0
IRN,2012,0.072858475,0.09219452583609561
IRN,2013,0.15823695,0.04833110710681062
IRN,2014,0.21465220000000002,0.12976493302853434
IRN,2015,0.28704945000000004,0.17496437142348914
IRN,2016,0.22090342500000001,0.13615976651638265
IRN,2017,0.388530525,0.1629047870101096
IRN,2018,0.41936887500000003,0.15934811902350518
IRN,2019,0.2337938,0.11057331311288451
IRN,2020,0.311211825,0.1306287724484509
IRN,2021,0.35762642499999997,0.1515845413032471
IRN,2022,0.25404315,0.05911123088159022
IRN,2023,0.18293245000000002,0.09927790984223697
IRN,2024,0.3151887,0.03692070615052392
IRQ,1995,0.066300625,0.09668249783472964
IRQ,1996,0.041207675,0.04761323347707547
IRQ,1997,0.071803875,0.04845958295744163
IRQ,1998,0.041017225,0.08203445
IRQ,1999,0.094398975,0.06951546676279435
IRQ,2000,0.236019525,0.14882430671507427
IRQ,2001,0.184026625,0.05418670441362132
IRQ,2002,0.13424465,0.15506880700621256
IRQ,2003,0.0888227,0.06560123775737772
IRQ,2004,0.025851825,0.05170365
IRQ,2005,0.02814365,0.0562873
IRQ,2006,0.026566199999999998,0.0306761582866347
IRQ,2007,0.12193204999999999,0.11766626578796206
IRQ,2008,0.027639575,0.05527915
IRQ,2009,0.099493475,0.0746066004629338
IRQ,2010,0.24538675,0.10737223246713586
IRQ,2011,0.161442875,0.061194911076078606
IRQ,2012,0.222195325,0.07818952231176822
IRQ,2013,0.17384840000000001,0.14904568311547972
IRQ,2014,0.076585625,0.02091332158145058
IRQ,2015,0.093867175,0.07433434721232506
IRQ,2016,0.109220125,0.1060616203833531
IRQ,2017,0.092770725,0.07751582524445683
IRQ,2018,0.10014085,0.14913095893208536
IRQ,2019,0.07527705,0.08957802911638918
IRQ,2020,0.1768991,0.06518492499737445
IRQ,2021,0.2310154,0.15601505752022782
IRQ,2022,0.225698925,0.15493033658521874
IRQ,2023,0.16856625,0.16037600169781221
IRQ,2024,0.08571727500000001,0.09898407254285493
ISR,1995,0.067940925,0.13588185
ISR,1996,0.067587675,0.08258027897027938
ISR,1997,0.083852925,0.0700454711865264
ISR,1998,0.314807725,0.18945150417776005
ISR,1999,0.3011638,0.0765083196370608
ISR,2000,0.25297112499999996,0.19589163554033942
ISR,2001,0.320232175,0.10120725920372098
ISR,2002,0.19824425,0.17663924874901574
ISR,2003,0.399545325,0.1814887033305999
ISR,2004,0.17550902499999999,0.06565734981911138
ISR,2005,0.252878875,0.04254061706568403
ISR,2006,0.15472029999999998,0.04848017035276725
ISR,2007,0.26855592500000003,0.10980845953718305
ISR,2008,0.06824485,0.08633262384805641
ISR,2009,0.088350825,0.00269606017165171
