country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,govt_effectiveness,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp,researchers_per_million,researchers_per_million_imputed,govt_effectiveness_imputed
IRQ,2006,,2276.55435744086,-1.73054528236389,2.49370432,64.029,,370.8675,True,False
IRQ,2007,,3128.99010329066,-1.56380665302277,3.2148056,64.428,0.04554,370.8675,False,False
IRQ,2008,,4542.96609046032,-1.2360702753067,3.06604242,66.465,0.03435,391.66134,False,False
IRQ,2009,,3714.71205987194,-1.18672871589661,3.77203989,67.834,0.04562,407.43142,False,False
IRQ,2010,,4461.75196161555,-1.1039627790451,3.23955345,68.092,0.03684,420.64715,False,False
IRQ,2011,,5775.54229080293,-1.07451224327087,2.80316377,68.435,0.03476,429.8312,False,False
IRQ,2012,,6477.59618450955,-1.05595529079437,2.69365859,68.827,,429.8312,True,False
IRQ,2013,,6650.35282247395,-1.04929423332214,2.80868459,69.047,,429.8312,True,False
IRQ,2014,,6249.39226978969,-1.05569767951965,2.78786659,69.679,0.03835,66.44057,False,False
IRQ,2015,,4440.14189252367,-1.2022225856781,3.15587044,69.977,0.04017,63.15466,False,False
IRQ,2016,,4334.42096404188,-1.23010790348053,4.57253027,68.683,0.03737,62.30752,False,False
IRQ,2017,,4759.2846435467,-1.22211647033691,4.08944416,69.788,0.04596,102.2908,False,False
IRQ,2018,,5646.68932074742,-1.26693630218506,4.07600641,71.116,0.04279,107.3521,False,False
IRQ,2019,,5671.8568632942,-1.31078171730042,4.207232,71.245,0.03266,118.26846,False,False
IRQ,2020,,4295.18945121228,-1.30339181423187,5.72766161,69.651,0.04053,136.59963,False,False
IRQ,2021,,4868.49431080783,-1.32009863853455,5.14179993,70.704,0.0407,164.28484,False,False
IRQ,2022,,6520.73154560584,-1.30276036262512,4.33226347,72.037,,164.28484,True,False
IRQ,2023,,5965.31835077761,-1.38960635662079,5.53275251,72.324,,164.28484,True,False
IRQ,2024,,6073.61032342708,-1.38960635662079,,72.424,,164.28484,True,True
ISR,1995,,19025.6840502517,0.77417254447937,,77.4512195121951,,,True,True
ISR,1996,,20224.2789080629,0.77417254447937,,78.1048780487805,2.4753,,True,False
ISR,1997,,20469.4699017497,0.77417254447937,,78.0,2.69533,,True,True
ISR,1998,6.40023994445801,20188.8141481667,1.04076933860779,,78.1487804878049,2.80723,,True,False
ISR,1999,6.1956000328064,19823.2138876277,1.04076933860779,,78.6585365853659,3.21199,,True,True
ISR,2000,5.93116998672485,21706.5194056329,1.05533421039581,6.59421921,78.9536585365854,3.81316,,True,False
ISR,2001,6.17636013031006,20966.3052667971,1.05533421039581,6.99914265,79.4073170731707,4.05338,,True,True
ISR,2002,6.24923992156982,19076.4584298321,1.03079378604889,6.90767479,79.4512195121951,3.99197,,True,False
ISR,2003,6.13486003875732,19643.4690380742,1.13986682891846,6.84975958,79.6487804878049,3.76142,,True,False
ISR,2004,5.75040006637573,20568.0694088834,1.2419970035553,6.79696989,80.1463414634146,3.74703,,True,False
ISR,2005,5.56489992141724,21286.8388636595,1.03845989704132,6.8828454,80.1512195121951,3.91123,,True,False
ISR,2006,5.58409023284912,22527.2619795719,1.24783563613892,6.70000744,80.5536585365854,4.01416,,True,False
ISR,2007,5.33169984817505,25721.2594077311,1.23067355155945,6.67256165,80.5048780487805,4.28533,,True,False
ISR,2008,5.40716981887817,30269.217773489,1.32564425468445,6.80668306,80.9512195121951,4.24165,,True,False
ISR,2009,5.34174013137817,28508.4938886475,1.27143526077271,6.86992359,81.4048780487805,4.01799,,True,False
ISR,2010,5.40408992767334,31439.0887027614,1.38622903823853,6.85038328,81.6024390243903,3.8421,,True,False
ISR,2011,5.42928981781006,34522.5215979073,1.33679676055908,6.80594969,81.6560975609756,3.91608,,True,False
ISR,2012,5.56122016906738,33321.4300881602,1.26981163024902,6.94185257,81.7048780487805,4.06028,,True,False
ISR,2013,5.76972007751465,37034.3161080785,1.24306440353394,6.94074392,82.0560975609756,4.10651,,True,False
ISR,2014,5.69225978851318,38343.3046626235,1.20617961883545,7.02990532,82.1536585365854,4.19613,,True,False
ISR,2015,5.79657983779907,36213.1041481958,1.35655665397644,7.02090645,82.0512195121951,4.29761,,True,False
ISR,2016,5.80271005630493,37671.5389138798,1.30955588817596,7.09919167,82.4073170731707,4.59051,,True,False
ISR,2017,6.00425004959106,41138.470964272,1.34878790378571,7.17189407,82.5512195121951,4.74032,,True,False
ISR,2018,6.06919002532959,42362.6652754196,1.16925418376923,7.23550367,82.8024390243903,4.91965,,True,False
